name,ZONE_CODE,COUNT,AREA,MEAN,Length (km),Basin Slope,Length(ft),Slope (%),S,Tc,Lag time (hr) ,Lag Time (min)
Subbasin-1,12,1692,0.007343748,90.89479905,33.13499,0.06775,108710.5973,6.775,1.001729586,5.85654912,3.513929472,210.8357683
Subbasin-10,5,3132,0.013593746,89.56832695,30.42361,0.07765,99814.99359,7.765,1.164660925,5.397019156,3.238211494,194.2926896
Subbasin-11,11,2102,0.009123261,90.71075167,42.45159,0.05748,139276.8703,5.748,1.024051522,7.812590525,4.687554315,281.2532589
Subbasin-12,14,725,0.0031467,90.82896552,22.4456,0.04686,73640.42006,4.686,1.009703725,5.171058352,3.102635011,186.1581007
Subbasin-13,2,1778,0.007717011,89.96906637,32.52855,0.05608,106720.9647,5.608,1.114931391,6.591713735,3.955028241,237.3016944
Subbasin-14,13,841,0.003650172,89.70035672,26.04967,0.07872,85464.79672,7.872,1.148227684,4.709107811,2.825464687,169.5278812
Subbasin-15,1,2264,0.009826386,89.41872792,28.20831,0.06338,92546.94896,6.338,1.18333959,5.657096912,3.394258147,203.6554888
Subbasin-16,8,52,0.000225694,90.36538462,3.70312,0.03542,12149.34385,3.542,1.066184295,1.43460212,0.860761272,51.64567633
Subbasin-17,6,1809,0.00785156,89.48811498,12.03696,0.05325,39491.33864,5.325,1.174668281,3.113952194,1.868371316,112.102279
Subbasin-18,20,168,0.000729166,90.70833333,4.27902,0.0672,14038.77955,6.72,1.024345429,1.15258571,0.691551426,41.49308555
Subbasin-19,18,782,0.003394096,90.45140665,30.98355,0.0694,101652.0671,6.94,1.055660017,5.5869436,3.35216616,201.1299696
Subbasin-2,22,1900,0.008246525,90.47894737,37.0958,0.06593,121705.3808,6.593,1.052294805,6.612554378,3.967532627,238.0519576
Subbasin-20,15,2011,0.008728296,89.76976629,20.69957,0.04545,67911.97517,4.545,1.139607926,5.141847985,3.085108791,185.1065275
Subbasin-21,10,62,0.000269097,89.30645161,18.14373,0.0436,59526.67332,4.36,1.197399314,4.813461286,2.888076771,173.2846063
Subbasin-22,9,344,0.001493055,89.58139535,28.69721,0.05305,94150.95159,5.305,1.163032191,6.228110561,3.736866337,224.2119802
Subbasin-3,17,1135,0.004926214,89.50572687,20.14608,0.04604,66096.06309,4.604,1.17246946,5.052839937,3.031703962,181.9022377
Subbasin-4,19,2865,0.012434892,90.25445026,18.72913,0.0487,61447.277,4.87,1.079786062,4.495167157,2.697100294,161.8260177
Subbasin-5,16,1432,0.006215276,90.11243017,19.56133,0.04163,64177.59196,4.163,1.097248161,5.063531931,3.038119159,182.2871495
Subbasin-6,4,998,0.004331596,90.68937876,33.21927,0.03648,108987.1065,3.648,1.026649578,8.067015579,4.840209347,290.4125608
Subbasin-7,21,2405,0.010438365,89.28814969,7.11203,0.04066,23333.43179,4.066,1.199694511,2.358022885,1.414813731,84.88882386
Subbasin-8,7,1680,0.007291664,90.94821429,26.01314,0.06512,85344.94764,6.512,0.995268108,4.911126134,2.94667568,176.8005408
Subbasin-9,3,3719,0.016141488,89.36542081,18.89338,0.0492,61986.15495,4.92,1.190010531,4.669395899,2.80163754,168.0982524
